Date,Begin,End,Total Minutes,Task,Requestor,Company,Cost(90/hr),Running Total
11/30/25,8:30 PM,10:00 PM,90,VoIP Phone System Setup,Alex,Acme Corp,$135.00,$ 135.00
12/22/25,1:30 PM,1:45 PM,15,DNS Configuration Update,Jordan,Acme Corp,$22.50,$ 157.50
1/22/26,11:00 AM,6:00 PM,420,Internal Web Application,Alex,Acme Corp,$630.00,$ 787.50
1/23/26,10:00 AM,11:59 PM,839,Internal Web Application,Alex,Acme Corp,"$1,258.50","$ 2,046.00"
1/24/26,12:00 AM,4:15 AM,255,Internal Web Application,Alex,Acme Corp,$382.50,"$ 2,428.50"
1/24/26,9:00 AM,10:30 AM,90,Internal Web Application,Alex,Acme Corp,$135.00,"$ 2,563.50"
1/24/26,1:00 PM,3:30 PM,150,Internal Web Application,Alex,Acme Corp,$225.00,"$ 2,788.50"
1/26/26,1:00 PM,6:30 PM,330,Internal Web Application,Alex,Acme Corp,$495.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
,,,00,,,,$0.00,"$ 3,283.50"
